samplename,file,condition
GSM1249471_10011436_bot_1B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249471_10011436_bot_1B3.gpr,Mock
GSM1249472_10011408_top_1B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249472_10011408_top_1B3.gpr,Mock
GSM1249473_10010507_bot_1B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249473_10010507_bot_1B4.gpr,Mock
GSM1249474_10010237_top_1B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249474_10010237_top_1B4.gpr,Mock
GSM1249475_10011467_top_2A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249475_10011467_top_2A0.gpr,Live
GSM1249476_10011535_top_2A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249476_10011535_top_2A0.gpr,Live
GSM1249477_10011435_bot_2A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249477_10011435_bot_2A1.gpr,Live
GSM1249478_10010508_bot_2A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249478_10010508_bot_2A1.gpr,Live
GSM1249479_10011570_bot_2A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249479_10011570_bot_2A2.gpr,Live
GSM1249480_10010508_top_2A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249480_10010508_top_2A2.gpr,Live
GSM1249481_10011434_top_2A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249481_10011434_top_2A3.gpr,Live
GSM1249482_10011409_bot_2A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249482_10011409_bot_2A3.gpr,Live
GSM1249483_10011433_top_2A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249483_10011433_top_2A4.gpr,Live
GSM1249484_10011412_bot_2A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249484_10011412_bot_2A4.gpr,Live
GSM1249485_10011449_top_2B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249485_10011449_top_2B0.gpr,Live
GSM1249486_10011569_bot_2B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249486_10011569_bot_2B0.gpr,Live
GSM1249487_10010155_bot_2B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249487_10010155_bot_2B1.gpr,Live
GSM1249488_10011521_bot_2B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249488_10011521_bot_2B1.gpr,Live
GSM1249489_10011448_top_2B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249489_10011448_top_2B2.gpr,Live
GSM1249490_10011520_top_2B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249490_10011520_top_2B2.gpr,Live
GSM1249491_10010169_bot_2B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249491_10010169_bot_2B3.gpr,Live
GSM1249492_10010506_bot_2B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249492_10010506_bot_2B3.gpr,Live
GSM1249493_10011570_top_2B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249493_10011570_top_2B4.gpr,Live
GSM1249494_10010506_top_2B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249494_10010506_top_2B4.gpr,Live
GSM1249495_10011434_bot_3A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249495_10011434_bot_3A0.gpr,Killed.PR8
GSM1249496_10011410_top_3A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249496_10011410_top_3A0.gpr,Killed.PR8
GSM1249497_10011437_top_3A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249497_10011437_top_3A1.gpr,Killed.PR8
GSM1249498_10011442_bot_3A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249498_10011442_bot_3A1.gpr,Killed.PR8
GSM1249499_10011431_bot_3A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249499_10011431_bot_3A2.gpr,Killed.PR8
GSM1249500_10011408_bot_3A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249500_10011408_bot_3A2.gpr,Killed.PR8
GSM1249501_10010574_top_3A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249501_10010574_top_3A3.gpr,Killed.PR8
GSM1249502_10010362_bot_3A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249502_10010362_bot_3A3.gpr,Killed.PR8
GSM1249503_10011438_bot_3A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249503_10011438_bot_3A4.gpr,Killed.PR8
GSM1249504_10010231_top_3A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249504_10010231_top_3A4.gpr,Killed.PR8
GSM1249505_10010155_top_3B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249505_10010155_top_3B0.gpr,Killed.PR8
GSM1249506_10010511_bot_3B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249506_10010511_bot_3B0.gpr,Killed.PR8
